Reference, Quantity, Value, Footprint, Datasheet
B1 ,1,9V,Battery:BC9VPC,
B2 ,1,2xAA,Battery:Keystone_2462_2AA,
C1 C2 C3 ,3,1uF,Passive:0603,
CON1 ,1,BARREL_JACK,Connect:Barrel_Jack_CUI_PJ-102AH,
G1 ,1,Casco_Logix_Logo,Logo:Casco_Logix_Logo_7x7MM,
J1 J2 ,2,HEADER_F_2.54MM_1R8P_ST_AU_PTH,Header:HEADER_F_2.54MM_1R8P_ST_AU_PTH,
J3 J4 ,2,HEADER_F_2.54MM_1R12P_ST_AU_PTH,Header:HEADER_F_2.54MM_1R12P_ST_AU_PTH,
J5 ,1,Molex_0475710001,Connector:Molex_0475710001,
J6 ,1,HEADER_F_2.54MM_1R2P_ST_AU_PTH,Header:HEADER_F_2.54MM_1R2P_ST_SN_PTH,
LK1 ,1,SOLDER_LINK_NO,Passive:SOLDER_LINK_NO,
M1 M2 M3 ,3,FID,FIDUCIAL:FIDUCIAL,
MH1 MH2 MH3 MH4 ,4,MTG_HOLE,Fastener:MH_#6,
P1 ,1,HEADER_M_2.54MM_1R3P_ST_AU_PTH,Header:HEADER_M_2.54MM_1R3P_ST_AU_PTH,
P2 P3 P4 P5 ,4,HEADER_M_2.54MM_1R4P_ST_AU_PTH,Header:HEADER_M_2.54MM_1R4P_ST_AU_PTH,
R1 R2 R3 R4 R5 R6 ,6,4.7k,Passive:R0603,
TB1 TB2 ,2,OSTVN_1x3,Terminal_Block:TB_100MIL_1R3P_PTH,
U1 ,1,FL127,Active:SO-8,
U2 ,1,MCP7940M-I/SN,Active:SO-8,